labels,z,y,x,z_min,z_max,y_min,y_max,x_min,x_max
45,23,4133,5815,22,26,4076,4181,5768,5861
46,25,4129,4873,24,27,4036,4203,4794,4938
47,25,3977,4305,25,27,3915,4043,4269,4336
48,23,4078,5187,22,25,4004,4151,5104,5251
49,22,3636,5267,20,25,3541,3724,5165,5371
50,19,3288,4770,18,23,3258,3311,4708,4840
51,24,2646,5646,22,27,2524,2772,5611,5693
52,22,2918,5876,19,27,2825,3042,5851,5918
53,24,2968,6001,24,27,2930,3019,5966,6033
54,16,2976,4968,13,20,2907,3051,4818,5118
55,20,2949,3992,18,23,2919,2984,3817,4127
56,25,1854,6174,24,27,1797,1904,6129,6228
57,26,1825,6071,26,27,1791,1860,6039,6103
58,26,1644,6111,26,27,1605,1680,6083,6141
59,23,1785,5566,21,26,1715,1860,5442,5691
60,18,2187,4393,15,23,2089,2279,4373,4413
61,26,2194,4581,26,27,2181,2210,4548,4617
62,24,1487,5619,24,27,1379,1590,5536,5720
63,24,1338,4852,21,27,1227,1465,4761,4956
64,25,1314,4411,25,27,1243,1389,4376,4448
65,22,1168,5894,21,26,977,1296,5822,6001
66,21,1104,5411,21,24,1039,1172,5358,5471
67,19,631,5335,18,21,563,703,5288,5395
68,17,850,5692,16,20,781,921,5664,5723
69,13,628,5457,12,16,596,670,5398,5513
70,26,908,4379,26,27,879,939,4344,4415
71,26,814,4184,26,27,751,882,4119,4244
72,26,1429,3217,26,27,1344,1524,3194,3242
73,22,1793,2958,21,25,1743,1836,2911,3012
74,19,1541,3533,18,24,1491,1588,3475,3594
75,15,892,3703,11,20,789,997,3666,3752
76,22,1908,3848,20,26,1814,2000,3768,3914
77,20,742,3301,19,24,674,819,3243,3362
78,18,1442,2856,16,22,1378,1505,2829,2889
79,22,1210,2873,22,25,1171,1244,2829,2918
80,24,2138,3578,23,27,2013,2259,3504,3656
81,26,2100,2974,26,27,2052,2146,2949,3000
82,20,2536,2955,19,24,2432,2639,2915,2998
83,19,2548,3800,15,23,2526,2582,3651,3996
84,11,2588,3461,6,20,2524,2640,3345,3575
85,13,2598,4059,11,19,2527,2683,3916,4214
86,10,2242,4651,8,14,2156,2312,4593,4700
87,8,1631,3781,7,11,1565,1694,3724,3848
88,13,1913,3452,10,18,1863,1954,3379,3550
89,21,1726,2811,20,23,1657,1786,2764,2855
90,23,1703,3553,23,26,1664,1755,3504,3600
91,24,3194,3090,23,27,3139,3228,3030,3151
92,23,3276,3527,19,27,3190,3352,3387,3679
93,25,3550,3244,24,27,3476,3607,3199,3304
94,19,3849,3425,17,25,3706,4003,3373,3515
95,20,2945,2869,18,25,2829,3077,2815,2911
96,26,4085,3243,26,27,4070,4100,3195,3301
97,24,4485,2938,24,26,4462,4516,2894,2986
98,22,4370,3150,21,25,4324,4438,3119,3200
99,21,4218,3162,20,25,4170,4262,3117,3202
100,20,4244,3553,19,23,4208,4298,3437,3662
101,26,3600,2650,26,27,3511,3694,2624,2679
102,26,4020,2681,26,27,4001,4039,2643,2718
103,25,4199,2353,23,27,4075,4336,2265,2446
